# Dia       	# Fase	# Símbolo	# Nome
2031-04-21	27.772	🌑	Lua nova
2031-04-29	 6.702	🌓	Quarto crescente
2031-05-07	14.322	🌕	Lua cheia
2031-05-13	20.657	🌗	Quarto minguante
2031-05-21	 0.134	🌑	Lua nova
2031-05-29	 6.988	🌓	Quarto crescente
2031-06-05	13.955	🌕	Lua cheia
2031-06-12	21.350	🌗	Quarto minguante
2031-06-19	27.596	🌑	Lua nova
2031-06-28	 7.415	🌓	Quarto crescente
2031-07-04	13.627	🌕	Lua cheia
2031-07-11	20.967	🌗	Quarto minguante
2031-07-19	27.905	🌑	Lua nova
2031-07-27	 7.017	🌓	Quarto crescente
2031-08-03	14.425	🌕	Lua cheia
2031-08-10	21.392	🌗	Quarto minguante
2031-08-18	 0.234	🌑	Lua nova
2031-08-25	 6.684	🌓	Quarto crescente
2031-09-01	14.074	🌕	Lua cheia
2031-09-08	20.811	🌗	Quarto minguante
2031-09-16	27.706	🌑	Lua nova
2031-09-24	 7.411	🌓	Quarto crescente
2031-09-30	13.663	🌕	Lua cheia
2031-10-08	21.005	🌗	Quarto minguante
2031-10-16	 0.106	🌑	Lua nova
