# Dag       	# Fase	# Symbool	# Naam
2030-04-03	 0.435	🌑	Nieuwe maan
2030-04-11	 7.260	🌓	Eerste kwartier
2030-04-18	14.305	🌕	Volle maan
2030-04-24	20.648	🌗	Laatste kwartier
2030-05-02	27.851	🌑	Nieuwe maan
2030-05-10	 6.723	🌓	Eerste kwartier
2030-05-17	13.939	🌕	Volle maan
2030-05-24	21.196	🌗	Laatste kwartier
2030-06-01	 0.128	🌑	Nieuwe maan
2030-06-09	 7.259	🌓	Eerste kwartier
2030-06-15	13.602	🌕	Volle maan
2030-06-22	20.724	🌗	Laatste kwartier
2030-06-30	27.584	🌑	Nieuwe maan
2030-07-08	 6.957	🌓	Eerste kwartier
2030-07-15	14.345	🌕	Volle maan
2030-07-22	21.067	🌗	Laatste kwartier
2030-07-30	27.955	🌑	Nieuwe maan
2030-08-06	 6.715	🌓	Eerste kwartier
2030-08-13	13.968	🌕	Volle maan
2030-08-21	21.307	🌗	Laatste kwartier
2030-08-29	 0.439	🌑	Nieuwe maan
2030-09-04	 6.492	🌓	Eerste kwartier
2030-09-11	13.546	🌕	Volle maan
2030-09-19	20.650	🌗	Laatste kwartier
2030-09-27	 0.003	🌑	Nieuwe maan
2030-10-04	 7.255	🌓	Eerste kwartier
2030-10-11	13.970	🌕	Volle maan
2030-10-19	20.826	🌗	Laatste kwartier
2030-10-26	27.543	🌑	Nieuwe maan
2030-11-02	 6.961	🌓	Eerste kwartier
2030-11-10	14.267	🌕	Volle maan
2030-11-18	21.092	🌗	Laatste kwartier
2030-11-25	 0.193	🌑	Nieuwe maan
2030-12-01	 6.521	🌓	Eerste kwartier
2030-12-09	13.591	🌕	Volle maan
2030-12-18	21.433	🌗	Laatste kwartier
2030-12-24	27.698	🌑	Nieuwe maan
2030-12-31	 6.901	🌓	Eerste kwartier
2031-01-08	13.737	🌕	Volle maan
2031-01-16	20.927	🌗	Laatste kwartier
2031-01-23	 0.293	🌑	Nieuwe maan
2031-01-30	 7.118	🌓	Eerste kwartier
2031-02-07	13.934	🌕	Volle maan
2031-02-14	20.508	🌗	Laatste kwartier
2031-02-21	27.791	🌑	Nieuwe maan
2031-03-01	 7.244	🌓	Eerste kwartier
2031-03-09	14.255	🌕	Volle maan
